Reaction	K_eq	Î”G'0
'RuBP + CO2_cax => 2 P3G'	38327.61674	(-26.6 +/- 2.6) kilojoule / mole
'ATP + P3G <=> ADP + BPG'	0.00045	(19.4 +/- 0.4) kilojoule / mole
'NADPH + BPG <=> NADP + P_i + GAP'	0.27	(3.3 +/- 0.5) kilojoule / mole
'GAP <=> DHAP'	9.59801	(-5.7 +/- 0.5) kilojoule / mole
'GAP + DHAP <=> FBP'	34026.56217	(-26.3 +/- 0.5) kilojoule / mole
'F6P + GAP <=> E4P + Xu5P'	0.01433	(10.7 +/- 1.9) kilojoule / mole
'GAP + S7P <=> R5P + Xu5P'	0.22142	(3.8 +/- 1.9) kilojoule / mole
'FBP + H2O => F6P + P_i'	40.0411	(-9.3 +/- 0.7) kilojoule / mole
'E4P + DHAP => SBP'	2202.22658	(-19.4 +/- 2.8) kilojoule / mole
'SBP + H2O => S7P + P_i'	354.99695	(-14.8 +/- 2.9) kilojoule / mole
'R5P <=> Ru5P'	0.41775	(2.2 +/- 0.8) kilojoule / mole
'Xu5P <=> Ru5P'	0.2595	(3.4 +/- 1.2) kilojoule / mole
'ATP + Ru5P => ADP + RuBP'	525743.78232	(-33.2 +/- 2.3) kilojoule / mole
'P3G <=> P2G'	0.18892	(4.2 +/- 0.4) kilojoule / mole
'P2G <=> PEP + H2O'	4.75541	(-3.93 +/- 0.30) kilojoule / mole
'ADP + PEP => ATP + PYR'	5066.61841	(-21.5 +/- 0.4) kilojoule / mole
'PYR + NAD + COA + H2O => ACCOA + NADH + CO2_cyt'	147099528.144	(-47.4 +/- 1.6) kilojoule / mole
'F6P + P_i <=> ACETP + E4P + H2O'	194191408.43443	(-48.1 +/- 2.0) kilojoule / mole
'Xu5P + P_i <=> ACETP + GAP + H2O'	13551066799.39543	(-58.8 +/- 1.6) kilojoule / mole
'ACETP + COA <=> ACCOA + P_i'	46.92789	(-9.7 +/- 0.6) kilojoule / mole
'NADH + NADP <=> NAD + NADPH'	0.88076	(0.32 +/- 0.34) kilojoule / mole
'F6P <=> G6P'	2.49068	(-2.3 +/- 0.4) kilojoule / mole
'G6P + NADP <=> GL6P + NADPH'	72.60637	(-10.8 +/- 1.3) kilojoule / mole
'GL6P + H2O <=> P6G'	121120.59357	(-29.5 +/- 1.7) kilojoule / mole
'P6G + NADP + H2O <=> Ru5P + NADPH + CO2_cyt'	2.69638	(-2.5 +/- 0.9) kilojoule / mole
'ACCOA + OAA + H2O <=> CIT + COA'	28915461.96706	(-43.3 +/- 0.4) kilojoule / mole
'CIT <=> ICI'	0.03743	(8.28 +/- 0.33) kilojoule / mole
'ICI + NADP + H2O <=> O2G + CO2_cyt + NADPH'	20.3974	(-7.6 +/- 0.8) kilojoule / mole
'OAA + NADH <=> MAL + NAD'	6327.22359	(-22.06 +/- 0.30) kilojoule / mole
'ADP + PEP + CO2_cyt <=> ATP + OAA + H2O'	0.5738	(1.4 +/- 0.8) kilojoule / mole
'MAL + NAD + H2O <=> PYR + CO2_cyt + NADH'	1.42916	(-0.9 +/- 0.7) kilojoule / mole
'PG + H2O <=> GLC + P_i'	326587.21262	(-32.0 +/- 2.1) kilojoule / mole
'GLC + O2 <=> GLX + H2O2'	1457128103030113.2	(-88 +/- 4) kilojoule / mole
'RuBP + O2 => P3G + PG'	1.6681068660407923e+91	(-529.4 +/- 3.3) kilojoule / mole
'FUM + H2O <=> MAL'	3.88426	(-3.42 +/- 0.28) kilojoule / mole
'S7P + GAP <=> E4P + F6P'	1.67497	(-1.3 +/- 1.4) kilojoule / mole
